Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
353,Miles McBride\mcbrimi01,PG,21,NYK,22,2,7.0,0.7,2.7,.254,0.2,1.5,.156,0.5,1.2,.370,.297,0.1,0.2,.750,0.1,0.6,0.7,1.1,0.4,0.0,0.1,0.7,1.7
354,Mac McClung\mccluma01,PG,23,CHI,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
355,CJ McCollum\mccolcj01,SG,30,TOT,43,43,35.3,8.5,18.8,.452,3.1,8.0,.392,5.4,10.8,.497,.535,1.7,2.3,.724,1.0,3.5,4.5,4.7,1.1,0.5,2.0,2.1,21.7
355,CJ McCollum\mccolcj01,SG,30,POR,36,36,35.2,8.1,18.5,.436,3.1,8.0,.384,5.0,10.4,.476,.520,1.3,1.9,.706,0.9,3.3,4.3,4.5,1.0,0.6,1.9,2.1,20.5
355,CJ McCollum\mccolcj01,SG,30,NOP,7,7,36.0,10.7,20.3,.528,3.3,7.6,.434,7.4,12.7,.584,.609,3.3,4.3,.767,1.1,4.7,5.9,5.6,1.4,0.0,2.1,1.7,28.0
356,T.J. McConnell\mccontj01,PG,29,IND,24,6,24.2,3.8,7.5,.503,0.3,1.0,.280,3.5,6.5,.538,.522,0.5,0.6,.800,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
357,Jaden McDaniels\mcdanja02,PF,21,MIN,60,25,25.8,3.6,7.9,.449,1.1,3.6,.306,2.5,4.3,.570,.519,0.8,1.0,.800,1.2,3.1,4.2,1.2,0.8,0.7,1.1,3.3,9.0
358,Jalen McDaniels\mcdanja01,SF,24,CHO,39,2,17.6,2.5,5.1,.492,0.8,2.2,.372,1.7,2.8,.586,.574,0.8,1.2,.674,0.7,2.7,3.5,1.1,0.5,0.4,0.8,1.8,6.6
359,Doug McDermott\mcderdo01,PF,30,SAS,46,46,24.5,4.5,9.5,.468,2.3,5.2,.435,2.2,4.3,.508,.587,0.6,0.8,.763,0.4,2.0,2.4,1.3,0.3,0.1,0.8,1.6,11.8
360,JaVale McGee\mcgeeja01,C,34,PHO,55,14,16.0,4.1,6.4,.644,0.0,0.1,.286,4.1,6.3,.651,.647,1.3,2.0,.685,2.3,4.6,6.9,0.6,0.3,1.0,1.4,2.4,9.7
361,Cameron McGriff\mcgrica01,SF,24,POR,3,0,15.3,1.7,4.7,.357,0.7,2.0,.333,1.0,2.7,.375,.429,0.7,0.7,1.000,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7
362,Rodney McGruder\mcgruro01,SG,30,DET,37,1,13.6,1.7,3.8,.446,0.9,2.3,.405,0.8,1.5,.509,.568,0.3,0.4,.714,0.5,1.4,1.9,0.8,0.4,0.1,0.4,1.0,4.5
363,Alfonzo McKinnie\mckinal01,SF,29,CHI,17,3,12.1,1.4,3.6,.393,0.5,1.6,.333,0.9,2.0,.441,.467,0.1,0.5,.250,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
364,JaQuori McLaughlin\mclauja01,PG,24,DAL,4,0,2.8,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
365,Jordan McLaughlin\mclaujo01,PG,25,MIN,45,3,13.0,1.1,3.0,.368,0.2,1.2,.212,0.8,1.8,.469,.410,0.5,0.7,.742,0.3,1.2,1.5,2.8,0.7,0.1,0.5,0.6,2.9
366,Ben McLemore\mclembe01,SG,28,POR,44,6,18.7,3.0,7.7,.388,2.2,6.1,.364,0.8,1.6,.478,.533,0.7,0.8,.784,0.3,1.3,1.6,0.9,0.4,0.1,0.7,1.5,8.8
